BPJFTGHKLM, Entry1, Place1
CGPJKLBFTH, Entry2, Place2
PFBGTHLJCK, Entry3, Place3
HKLCPGBFTJ, Entry4, Place4
GHTCJLKBFM, Entry5, Place5
LCBFJTKGPH, Entry6, Place6
TBFHKLCGJP, Entry7, Place7
JKLFPBTHCG, Entry8, Place8
FPGBJLKTHC, Entry9, Place9
TCHLKFPBGJ, Entry10, Place10
BGJHCTKLFP, Entry11, Place11
KLFPBGJHCT, Entry12, Place12
JHCTKLFPBG, Entry13, Place13
LKFPBGJHCT, Entry14, Place14
GJHCTKLFPB, Entry15, Place15
FGBJLKTHCP, Entry16, Place16
KLTHCGJPBF, Entry17, Place17
CGJPBFTKLH, Entry18, Place18
JHCGJPBFTK, Entry20, Place280
